order_id,customer_id,menu_id,menu_name,category,quantity,price_per_item,total_price,order_date,order_time,day_of_week,month,is_weekend
1,73,5,Gado-gado,Appetizer,2,18000,36000,2025-05-01,19:57:20.460883,Thursday,May,False
2,73,8,Es Jeruk,Beverage,2,8000,16000,2025-05-01,19:57:20.460883,Thursday,May,False
3,73,10,Es Campur,Dessert,1,15000,15000,2025-05-01,19:57:20.460883,Thursday,May,False
4,73,2,Mie Goreng,Main Course,2,22000,44000,2025-05-01,19:57:20.460883,Thursday,May,False
5,92,1,Nasi Goreng,Main Course,2,25000,50000,2025-05-01,12:52:20.460883,Thursday,May,False
6,92,7,Es Teh Manis,Beverage,3,5000,15000,2025-05-01,12:52:20.460883,Thursday,May,False
7,92,10,Es Campur,Dessert,3,15000,45000,2025-05-01,12:52:20.460883,Thursday,May,False
8,92,4,Sate Ayam,Main Course,3,28000,84000,2025-05-01,12:52:20.460883,Thursday,May,False
9,82,4,Sate Ayam,Main Course,2,28000,56000,2025-05-01,21:17:20.460883,Thursday,May,False
10,82,2,Mie Goreng,Main Course,2,22000,44000,2025-05-01,21:17:20.460883,Thursday,May,False
11,82,9,Pisang Goreng,Dessert,3,12000,36000,2025-05-01,21:17:20.460883,Thursday,May,False
12,96,2,Mie Goreng,Main Course,3,22000,66000,2025-05-01,16:55:20.460883,Thursday,May,False
13,58,3,Ayam Goreng,Main Course,1,30000,30000,2025-05-01,18:29:20.460883,Thursday,May,False
14,58,10,Es Campur,Dessert,3,15000,45000,2025-05-01,18:29:20.460883,Thursday,May,False
15,58,5,Gado-gado,Appetizer,2,18000,36000,2025-05-01,18:29:20.460883,Thursday,May,False
16,58,7,Es Teh Manis,Beverage,2,5000,10000,2025-05-01,18:29:20.460883,Thursday,May,False
17,55,10,Es Campur,Dessert,1,15000,15000,2025-05-01,17:22:20.460883,Thursday,May,False
18,94,4,Sate Ayam,Main Course,3,28000,84000,2025-05-01,15:22:20.460883,Thursday,May,False
19,94,10,Es Campur,Dessert,2,15000,30000,2025-05-01,15:22:20.460883,Thursday,May,False
20,94,6,Soto Ayam,Soup,1,20000,20000,2025-05-01,15:22:20.460883,Thursday,May,False
21,94,2,Mie Goreng,Main Course,3,22000,66000,2025-05-01,15:22:20.460883,Thursday,May,False
